POD,CDU,Week,Date,Parameter,Measured Data,Comment,,,Parameter,Lower Limit,Upper Limit
POD #3,CDU-01,WK 8 2026,17/2/2026,ATP Bacteria,111,,,,,,
POD #3,CDU-01,WK 8 2026,17/2/2026,Conductivity,628,,,,,,
POD #3,CDU-01,WK 8 2026,17/2/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 8 2026,17/2/2026,TDS,428,,,,,,
POD #3,CDU-01,WK 8 2026,17/2/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 8 2026,17/2/2026,PH,8.7,,,,,,
POD #3,CDU-02,WK 8 2026,17/2/2026,ATP Bacteria,168,,,,,,
POD #3,CDU-02,WK 8 2026,17/2/2026,Conductivity,644,,,,,,
POD #3,CDU-02,WK 8 2026,17/2/2026,Turbidity,5,,,,,,
POD #3,CDU-02,WK 8 2026,17/2/2026,TDS,438,,,,,,
POD #3,CDU-02,WK 8 2026,17/2/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 8 2026,17/2/2026,PH,8.75,,,,,,
POD #3,CDU-03,WK 8 2026,17/2/2026,ATP Bacteria,54,,,,,,
POD #3,CDU-03,WK 8 2026,17/2/2026,Conductivity,631,,,,,,
POD #3,CDU-03,WK 8 2026,17/2/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 8 2026,17/2/2026,TDS,429,,,,,,
POD #3,CDU-03,WK 8 2026,17/2/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-04,WK 8 2026,17/2/2026,PH,8.76,,,,,,
POD #3,CDU-04,WK 8 2026,17/2/2026,ATP Bacteria,4,,,,,,
POD #3,CDU-04,WK 8 2026,17/2/2026,Conductivity,646,,,,,,
POD #3,CDU-04,WK 8 2026,17/2/2026,Turbidity,0,,,,,,
POD #3,CDU-04,WK 8 2026,17/2/2026,TDS,440,,,,,,
POD #3,CDU-04,WK 8 2026,17/2/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 9 2026,25/2/2026,PH,8.58,,,,,,
POD #3,CDU-01,WK 9 2026,25/2/2026,ATP Bacteria,283,,,,,,
POD #3,CDU-01,WK 9 2026,25/2/2026,Conductivity,632,,,,,,
POD #3,CDU-01,WK 9 2026,25/2/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 9 2026,25/2/2026,TDS,432,,,,,,
POD #3,CDU-01,WK 9 2026,25/2/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 9 2026,25/2/2026,PH,8.6,,,,,,
POD #3,CDU-02,WK 9 2026,25/2/2026,ATP Bacteria,251,,,,,,
POD #3,CDU-02,WK 9 2026,25/2/2026,Conductivity,648,,,,,,
POD #3,CDU-02,WK 9 2026,25/2/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 9 2026,25/2/2026,TDS,440,,,,,,
POD #3,CDU-02,WK 9 2026,25/2/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 9 2026,25/2/2026,PH,8.65,,,,,,
POD #3,CDU-03,WK 9 2026,25/2/2026,ATP Bacteria,706,Added 178ml of biocide 25-Feb-26,,,,,
POD #3,CDU-03,WK 9 2026,25/2/2026,Conductivity,590,,,,,,
POD #3,CDU-03,WK 9 2026,25/2/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 9 2026,25/2/2026,TDS,401,,,,,,
POD #3,CDU-03,WK 9 2026,25/2/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-04,WK 9 2026,25/2/2026,PH,8.67,,,,,,
POD #3,CDU-04,WK 9 2026,25/2/2026,ATP Bacteria,0,,,,,,
POD #3,CDU-04,WK 9 2026,25/2/2026,Conductivity,647,,,,,,
POD #3,CDU-04,WK 9 2026,25/2/2026,Turbidity,0,,,,,,
POD #3,CDU-04,WK 9 2026,25/2/2026,TDS,440,,,,,,
POD #3,CDU-04,WK 9 2026,25/2/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 9 2026,25/2/2026,PH,8.69,,,,,,
POD #3,CDU-05,WK 9 2026,25/2/2026,ATP Bacteria,0,,,,,,
POD #3,CDU-05,WK 9 2026,25/2/2026,Conductivity,667,,,,,,
POD #3,CDU-05,WK 9 2026,25/2/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 9 2026,25/2/2026,TDS,453,,,,,,
POD #3,CDU-05,WK 9 2026,25/2/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 10 2026,03/03/2026,PH,8.71,,,,,,
POD #3,CDU-01,WK 10 2026,03/03/2026,ATP Bacteria,240,,,,,,
POD #3,CDU-01,WK 10 2026,03/03/2026,Conductivity,638,,,,,,
POD #3,CDU-01,WK 10 2026,03/03/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 10 2026,03/03/2026,TDS,435,,,,,,
POD #3,CDU-01,WK 10 2026,03/03/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 10 2026,03/03/2026,PH,8.79,,,,,,
POD #3,CDU-02,WK 10 2026,03/03/2026,ATP Bacteria,548,,,,,,
POD #3,CDU-02,WK 10 2026,03/03/2026,Conductivity,645,,,,,,
POD #3,CDU-02,WK 10 2026,03/03/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 10 2026,03/03/2026,TDS,439,,,,,,
POD #3,CDU-02,WK 10 2026,03/03/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 10 2026,03/03/2026,PH,8.77,,,,,,
POD #3,CDU-03,WK 10 2026,03/03/2026,ATP Bacteria,345,,,,,,
POD #3,CDU-03,WK 10 2026,03/03/2026,Conductivity,621,,,,,,
POD #3,CDU-03,WK 10 2026,03/03/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 10 2026,03/03/2026,TDS,422,,,,,,
POD #3,CDU-03,WK 10 2026,03/03/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-04,WK 10 2026,03/03/2026,PH,8.84,,,,,,
POD #3,CDU-04,WK 10 2026,03/03/2026,ATP Bacteria,19,,,,,,
POD #3,CDU-04,WK 10 2026,03/03/2026,Conductivity,650,,,,,,
POD #3,CDU-04,WK 10 2026,03/03/2026,Turbidity,0,,,,,,
POD #3,CDU-04,WK 10 2026,03/03/2026,TDS,442,,,,,,
POD #3,CDU-04,WK 10 2026,03/03/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 10 2026,03/03/2026,PH,8.81,,,,,,
POD #3,CDU-05,WK 10 2026,03/03/2026,ATP Bacteria,0,,,,,,
POD #3,CDU-05,WK 10 2026,03/03/2026,Conductivity,670,,,,,,
POD #3,CDU-05,WK 10 2026,03/03/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 10 2026,03/03/2026,TDS,457,,,,,,
POD #3,CDU-05,WK 10 2026,03/03/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 40 2026,03/10/2026,PH,8.5,,,,,,
POD #3,CDU-01,WK 40 2026,03/10/2026,ATP Bacteria,36,,,,,,
POD #3,CDU-01,WK 40 2026,03/10/2026,Conductivity,661,,,,,,
POD #3,CDU-01,WK 40 2026,03/10/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 40 2026,03/10/2026,TDS,451,,,,,,
POD #3,CDU-01,WK 40 2026,03/10/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 40 2026,03/10/2026,PH,8.53,,,,,,
POD #3,CDU-02,WK 40 2026,03/10/2026,ATP Bacteria,99,,,,,,
POD #3,CDU-02,WK 40 2026,03/10/2026,Conductivity,631,,,,,,
POD #3,CDU-02,WK 40 2026,03/10/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 40 2026,03/10/2026,TDS,430,,,,,,
POD #3,CDU-02,WK 40 2026,03/10/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 40 2026,03/10/2026,PH,8.55,,,,,,
POD #3,CDU-03,WK 40 2026,03/10/2026,ATP Bacteria,152,,,,,,
POD #3,CDU-03,WK 40 2026,03/10/2026,Conductivity,638,,,,,,
POD #3,CDU-03,WK 40 2026,03/10/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 40 2026,03/10/2026,TDS,435,,,,,,
POD #3,CDU-03,WK 40 2026,03/10/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-04,WK 40 2026,03/10/2026,PH,8.57,,,,,,
POD #3,CDU-04,WK 40 2026,03/10/2026,ATP Bacteria,945,Added 178ml of biocide at March 10,,,,,
POD #3,CDU-04,WK 40 2026,03/10/2026,Conductivity,671,,,,,,
POD #3,CDU-04,WK 40 2026,03/10/2026,Turbidity,0,,,,,,
POD #3,CDU-04,WK 40 2026,03/10/2026,TDS,457,,,,,,
POD #3,CDU-04,WK 40 2026,03/10/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 40 2026,03/10/2026,PH,8.62,,,,,,
POD #3,CDU-05,WK 40 2026,03/10/2026,ATP Bacteria,2,,,,,,
POD #3,CDU-05,WK 40 2026,03/10/2026,Conductivity,683,,,,,,
POD #3,CDU-05,WK 40 2026,03/10/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 40 2026,03/10/2026,TDS,465,,,,,,
POD #3,CDU-05,WK 40 2026,03/10/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-06,WK 40 2026,03/10/2026,PH,8.61,,,,,,
POD #3,CDU-06,WK 40 2026,03/10/2026,ATP Bacteria,0,,,,,,
POD #3,CDU-06,WK 40 2026,03/10/2026,Conductivity,654,,,,,,
POD #3,CDU-06,WK 40 2026,03/10/2026,Turbidity,0,,,,,,
POD #3,CDU-06,WK 40 2026,03/10/2026,TDS,446,,,,,,
POD #3,CDU-06,WK 40 2026,03/10/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 12 2026,17/3/2026,PH,8.6,,,,,,
POD #3,CDU-01,WK 12 2026,17/3/2026,ATP Bacteria,151,,,,,,
POD #3,CDU-01,WK 12 2026,17/3/2026,Conductivity,674.4,,,,,,
POD #3,CDU-01,WK 12 2026,17/3/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 12 2026,17/3/2026,TDS,459.2,,,,,,
POD #3,CDU-01,WK 12 2026,17/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 12 2026,17/3/2026,PH,8.64,,,,,,
POD #3,CDU-02,WK 12 2026,17/3/2026,ATP Bacteria,49,,,,,,
POD #3,CDU-02,WK 12 2026,17/3/2026,Conductivity,644.9,,,,,,
POD #3,CDU-02,WK 12 2026,17/3/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 12 2026,17/3/2026,TDS,439.6,,,,,,
POD #3,CDU-02,WK 12 2026,17/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 12 2026,17/3/2026,PH,8.64,,,,,,
POD #3,CDU-03,WK 12 2026,17/3/2026,ATP Bacteria,292,,,,,,
POD #3,CDU-03,WK 12 2026,17/3/2026,Conductivity,674,,,,,,
POD #3,CDU-03,WK 12 2026,17/3/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 12 2026,17/3/2026,TDS,458.9,,,,,,
POD #3,CDU-03,WK 12 2026,17/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-04,WK 12 2026,17/3/2026,PH,8.68,,,,,,
POD #3,CDU-04,WK 12 2026,17/3/2026,ATP Bacteria,420,,,,,,
POD #3,CDU-04,WK 12 2026,17/3/2026,Conductivity,676.1,,,,,,
POD #3,CDU-04,WK 12 2026,17/3/2026,Turbidity,0,,,,,,
POD #3,CDU-04,WK 12 2026,17/3/2026,TDS,461.2,,,,,,
POD #3,CDU-04,WK 12 2026,17/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 12 2026,17/3/2026,PH,8.7,,,,,,
POD #3,CDU-05,WK 12 2026,17/3/2026,ATP Bacteria,0,,,,,,
POD #3,CDU-05,WK 12 2026,17/3/2026,Conductivity,685.1,,,,,,
POD #3,CDU-05,WK 12 2026,17/3/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 12 2026,17/3/2026,TDS,467.3,,,,,,
POD #3,CDU-05,WK 12 2026,17/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-06,WK 12 2026,17/3/2026,PH,8.73,,,,,,
POD #3,CDU-06,WK 12 2026,17/3/2026,ATP Bacteria,0,,,,,,
POD #3,CDU-06,WK 12 2026,17/3/2026,Conductivity,657.6,,,,,,
POD #3,CDU-06,WK 12 2026,17/3/2026,Turbidity,0,,,,,,
POD #3,CDU-06,WK 12 2026,17/3/2026,TDS,446.6,,,,,,
POD #3,CDU-06,WK 12 2026,17/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 13 2026,24/3/2026,PH,8.68,,,,,,
POD #3,CDU-01,WK 13 2026,24/3/2026,ATP Bacteria,144,,,,,,
POD #3,CDU-01,WK 13 2026,24/3/2026,Conductivity,682.9,,,,,,
POD #3,CDU-01,WK 13 2026,24/3/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 13 2026,24/3/2026,TDS,465.2,,,,,,
POD #3,CDU-01,WK 13 2026,24/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 13 2026,24/3/2026,PH,8.62,,,,,,
POD #3,CDU-02,WK 13 2026,24/3/2026,ATP Bacteria,152,,,,,,
POD #3,CDU-02,WK 13 2026,24/3/2026,Conductivity,658.5,,,,,,
POD #3,CDU-02,WK 13 2026,24/3/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 13 2026,24/3/2026,TDS,448.8,,,,,,
POD #3,CDU-02,WK 13 2026,24/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 13 2026,24/3/2026,PH,8.59,,,,,,
POD #3,CDU-03,WK 13 2026,24/3/2026,ATP Bacteria,211,,,,,,
POD #3,CDU-03,WK 13 2026,24/3/2026,Conductivity,674.8,,,,,,
POD #3,CDU-03,WK 13 2026,24/3/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 13 2026,24/3/2026,TDS,460.1,,,,,,
POD #3,CDU-03,WK 13 2026,24/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-04,WK 13 2026,24/3/2026,PH,8.57,,,,,,
POD #3,CDU-04,WK 13 2026,24/3/2026,ATP Bacteria,71,,,,,,
POD #3,CDU-04,WK 13 2026,24/3/2026,Conductivity,685.7,,,,,,
POD #3,CDU-04,WK 13 2026,24/3/2026,Turbidity,0,,,,,,
POD #3,CDU-04,WK 13 2026,24/3/2026,TDS,467.6,,,,,,
POD #3,CDU-04,WK 13 2026,24/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 13 2026,24/3/2026,PH,8.65,,,,,,
POD #3,CDU-05,WK 13 2026,24/3/2026,ATP Bacteria,2,,,,,,
POD #3,CDU-05,WK 13 2026,24/3/2026,Conductivity,688.1,,,,,,
POD #3,CDU-05,WK 13 2026,24/3/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 13 2026,24/3/2026,TDS,468.6,,,,,,
POD #3,CDU-05,WK 13 2026,24/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-06,WK 13 2026,24/3/2026,PH,8.62,,,,,,
POD #3,CDU-06,WK 13 2026,24/3/2026,ATP Bacteria,112,,,,,,
POD #3,CDU-06,WK 13 2026,24/3/2026,Conductivity,669.9,,,,,,
POD #3,CDU-06,WK 13 2026,24/3/2026,Turbidity,0,,,,,,
POD #3,CDU-06,WK 13 2026,24/3/2026,TDS,456,,,,,,
POD #3,CDU-06,WK 13 2026,24/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 14 2026,31/3/2026,PH,8.55,,,,,,
POD #3,CDU-01,WK 14 2026,31/3/2026,ATP Bacteria,136,,,,,,
POD #3,CDU-01,WK 14 2026,31/3/2026,Conductivity,688.6,,,,,,
POD #3,CDU-01,WK 14 2026,31/3/2026,Turbidity,0,,,,,,
POD #3,CDU-01,WK 14 2026,31/3/2026,TDS,466.8,,,,,,
POD #3,CDU-01,WK 14 2026,31/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 14 2026,31/3/2026,PH,8.56,,,,,,
POD #3,CDU-02,WK 14 2026,31/3/2026,ATP Bacteria,170,,,,,,
POD #3,CDU-02,WK 14 2026,31/3/2026,Conductivity,667.9,,,,,,
POD #3,CDU-02,WK 14 2026,31/3/2026,Turbidity,0,,,,,,
POD #3,CDU-02,WK 14 2026,31/3/2026,TDS,453.3,,,,,,
POD #3,CDU-02,WK 14 2026,31/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 14 2026,31/3/2026,PH,8.52,,,,,,
POD #3,CDU-03,WK 14 2026,31/3/2026,ATP Bacteria,329,,,,,,
POD #3,CDU-03,WK 14 2026,31/3/2026,Conductivity,689.2,,,,,,
POD #3,CDU-03,WK 14 2026,31/3/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 14 2026,31/3/2026,TDS,468.4,,,,,,
POD #3,CDU-03,WK 14 2026,31/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-04,WK 14 2026,31/3/2026,PH,8.54,,,,,,
POD #3,CDU-04,WK 14 2026,31/3/2026,ATP Bacteria,352,,,,,,
POD #3,CDU-04,WK 14 2026,31/3/2026,Conductivity,684.6,,,,,,
POD #3,CDU-04,WK 14 2026,31/3/2026,Turbidity,1,,,,,,
POD #3,CDU-04,WK 14 2026,31/3/2026,TDS,457.6,,,,,,
POD #3,CDU-04,WK 14 2026,31/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 14 2026,31/3/2026,PH,8.62,,,,,,
POD #3,CDU-05,WK 14 2026,31/3/2026,ATP Bacteria,91,,,,,,
POD #3,CDU-05,WK 14 2026,31/3/2026,Conductivity,868.1,,,,,,
POD #3,CDU-05,WK 14 2026,31/3/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 14 2026,31/3/2026,TDS,466.4,,,,,,
POD #3,CDU-05,WK 14 2026,31/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-06,WK 14 2026,31/3/2026,PH,8.54,,,,,,
POD #3,CDU-06,WK 14 2026,31/3/2026,ATP Bacteria,487,,,,,,
POD #3,CDU-06,WK 14 2026,31/3/2026,Conductivity,686.5,,,,,,
POD #3,CDU-06,WK 14 2026,31/3/2026,Turbidity,0,,,,,,
POD #3,CDU-06,WK 14 2026,31/3/2026,TDS,466.5,,,,,,
POD #3,CDU-06,WK 14 2026,31/3/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-01,WK 14 2026,31/3/2026,PH,8.65,,,,,,
POD #2,CDU-01,WK 14 2026,31/3/2026,ATP Bacteria,6,,,,,,
POD #2,CDU-01,WK 14 2026,31/3/2026,Conductivity,661.9,,,,,,
POD #2,CDU-01,WK 14 2026,31/3/2026,Turbidity,1,,,,,,
POD #2,CDU-01,WK 14 2026,31/3/2026,TDS,447.9,,,,,,
POD #2,CDU-01,WK 14 2026,31/3/2026,Total Suspended Solids,0,,,,,,
POD #2,CDU-02,WK 14 2026,31/3/2026,PH,8.68,,,,,,
POD #2,CDU-02,WK 14 2026,31/3/2026,ATP Bacteria,7,,,,,,
POD #2,CDU-02,WK 14 2026,31/3/2026,Conductivity,662.1,,,,,,
POD #2,CDU-02,WK 14 2026,31/3/2026,Turbidity,0,,,,,,
POD #2,CDU-02,WK 14 2026,31/3/2026,TDS,445.1,,,,,,
POD #2,CDU-02,WK 14 2026,31/3/2026,Total Suspended Solids,5,,,,,,
POD #2,CDU-04,WK 14 2026,31/3/2026,PH,8.69,,,,,,
POD #2,CDU-04,WK 14 2026,31/3/2026,ATP Bacteria,27,,,,,,
POD #2,CDU-04,WK 14 2026,31/3/2026,Conductivity,668.1,,,,,,
POD #2,CDU-04,WK 14 2026,31/3/2026,Turbidity,0,,,,,,
POD #2,CDU-04,WK 14 2026,31/3/2026,TDS,451.7,,,,,,
POD #2,CDU-04,WK 14 2026,31/3/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-01,WK 16 2026,14/4/2026,PH,7.62,Miscalibrated equipment,,,,,
POD #3,CDU-01,WK 16 2026,14/4/2026,ATP Bacteria,138,,,,,,
POD #3,CDU-01,WK 16 2026,14/4/2026,Conductivity,716.9,,,,,,
POD #3,CDU-01,WK 16 2026,14/4/2026,Turbidity,3,,,,,,
POD #3,CDU-01,WK 16 2026,14/4/2026,TDS,490.4,,,,,,
POD #3,CDU-01,WK 16 2026,14/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-02,WK 16 2026,14/4/2026,PH,7.61,Miscalibrated equipment,,,,,
POD #3,CDU-02,WK 16 2026,14/4/2026,ATP Bacteria,331,,,,,,
POD #3,CDU-02,WK 16 2026,14/4/2026,Conductivity,697,,,,,,
POD #3,CDU-02,WK 16 2026,14/4/2026,Turbidity,1,,,,,,
POD #3,CDU-02,WK 16 2026,14/4/2026,TDS,477.2,,,,,,
POD #3,CDU-02,WK 16 2026,14/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-03,WK 16 2026,14/4/2026,PH,7.59,Miscalibrated equipment,,,,,
POD #3,CDU-03,WK 16 2026,14/4/2026,ATP Bacteria,72,,,,,,
POD #3,CDU-03,WK 16 2026,14/4/2026,Conductivity,711.8,,,,,,
POD #3,CDU-03,WK 16 2026,14/4/2026,Turbidity,0,,,,,,
POD #3,CDU-03,WK 16 2026,14/4/2026,TDS,487,,,,,,
POD #3,CDU-03,WK 16 2026,14/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-04,WK 16 2026,14/4/2026,PH,7.64,Miscalibrated equipment,,,,,
POD #3,CDU-04,WK 16 2026,14/4/2026,ATP Bacteria,122,,,,,,
POD #3,CDU-04,WK 16 2026,14/4/2026,Conductivity,693.9,,,,,,
POD #3,CDU-04,WK 16 2026,14/4/2026,Turbidity,2,,,,,,
POD #3,CDU-04,WK 16 2026,14/4/2026,TDS,474.7,,,,,,
POD #3,CDU-04,WK 16 2026,14/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-05,WK 16 2026,14/4/2026,PH,7.67,Miscalibrated equipment,,,,,
POD #3,CDU-05,WK 16 2026,14/4/2026,ATP Bacteria,40,,,,,,
POD #3,CDU-05,WK 16 2026,14/4/2026,Conductivity,708.6,,,,,,
POD #3,CDU-05,WK 16 2026,14/4/2026,Turbidity,0,,,,,,
POD #3,CDU-05,WK 16 2026,14/4/2026,TDS,484,,,,,,
POD #3,CDU-05,WK 16 2026,14/4/2026,Total Suspended Solids,0,,,,,,
POD #3,CDU-06,WK 16 2026,14/4/2026,PH,7.63,Miscalibrated equipment,,,,,
POD #3,CDU-06,WK 16 2026,14/4/2026,ATP Bacteria,318,,,,,,
POD #3,CDU-06,WK 16 2026,14/4/2026,Conductivity,705.9,,,,,,
POD #3,CDU-06,WK 16 2026,14/4/2026,Turbidity,1,,,,,,
POD #3,CDU-06,WK 16 2026,14/4/2026,TDS,482.5,,,,,,
